,Fecha,codigoSerial,pm2.5,calidad_pm2.5,pm10,calidad_pm10
201,2019-01-09 09:00:00,12,28.0,1.0,51.0,1.0
202,2019-01-09 10:00:00,12,19.0,1.0,48.0,1.0
203,2019-01-09 11:00:00,12,35.0,1.0,55.0,1.0
204,2019-01-09 12:00:00,12,36.0,1.0,53.0,1.0
205,2019-01-09 13:00:00,12,36.0,1.0,45.0,1.0
206,2019-01-09 14:00:00,12,33.0,1.0,46.0,1.0
207,2019-01-09 15:00:00,12,23.0,1.0,43.0,1.0
208,2019-01-09 16:00:00,12,25.0,1.0,68.0,1.0
209,2019-01-09 17:00:00,12,32.0,1.0,83.0,1.0
210,2019-01-09 18:00:00,12,25.0,1.0,54.0,1.0
211,2019-01-09 19:00:00,12,17.0,1.0,34.0,1.0
212,2019-01-09 20:00:00,12,15.0,1.0,37.0,1.0
213,2019-01-09 21:00:00,12,9.0,1.0,40.0,1.0
214,2019-01-09 22:00:00,12,21.0,1.0,47.0,1.0
215,2019-01-09 23:00:00,12,26.0,1.0,53.0,1.0
216,2019-01-10 00:00:00,12,26.0,1.0,39.0,1.0
217,2019-01-10 01:00:00,12,17.0,1.0,19.0,1.0
218,2019-01-10 02:00:00,12,13.0,1.0,16.0,1.0
219,2019-01-10 03:00:00,12,12.0,1.0,19.0,1.0
220,2019-01-10 04:00:00,12,8.0,2.1,15.0,2.1
221,2019-01-10 05:00:00,12,13.0,1.0,23.0,1.0
222,2019-01-10 06:00:00,12,28.0,1.0,41.0,1.0
223,2019-01-10 07:00:00,12,38.0,1.0,53.0,1.0
224,2019-01-10 08:00:00,12,45.0,1.0,75.0,1.0
225,2019-01-10 09:00:00,12,44.0,1.0,74.0,1.0
226,2019-01-10 10:00:00,12,30.0,1.0,51.0,1.0
227,2019-01-10 11:00:00,12,45.0,1.0,51.0,1.0
228,2019-01-10 12:00:00,12,58.0,1.0,58.0,1.0
229,2019-01-10 13:00:00,12,38.0,1.0,58.0,1.0
230,2019-01-10 14:00:00,12,27.0,1.0,68.0,2.3
231,2019-01-10 15:00:00,12,35.0,1.0,69.0,1.0
232,2019-01-10 16:00:00,12,20.0,1.0,61.0,1.0
233,2019-01-10 17:00:00,12,21.0,1.0,62.0,1.0
234,2019-01-10 18:00:00,12,23.0,1.0,56.0,1.0
235,2019-01-10 19:00:00,12,16.0,1.0,54.0,1.0
236,2019-01-10 20:00:00,12,21.0,1.0,37.0,1.0
237,2019-01-10 21:00:00,12,8.0,1.0,39.0,1.0
238,2019-01-10 22:00:00,12,6.0,2.1,33.0,1.0
239,2019-01-10 23:00:00,12,16.0,1.0,40.0,1.0
240,2019-01-11 00:00:00,12,13.0,1.0,36.0,1.0
241,2019-01-11 01:00:00,12,17.0,1.0,26.0,1.0
242,2019-01-11 02:00:00,12,12.0,1.0,18.0,1.0
243,2019-01-11 03:00:00,12,12.0,1.0,20.0,1.0
244,2019-01-11 04:00:00,12,13.0,1.0,20.0,1.0
245,2019-01-11 05:00:00,12,17.0,1.0,24.0,1.0
246,2019-01-11 06:00:00,12,16.0,1.0,40.0,1.0
247,2019-01-11 07:00:00,12,25.0,1.0,46.0,1.0
248,2019-01-11 08:00:00,12,30.0,1.0,56.0,1.0
249,2019-01-11 09:00:00,12,33.0,1.0,51.0,1.0
250,2019-01-11 10:00:00,12,29.0,1.0,45.0,1.0
251,2019-01-11 11:00:00,12,32.0,1.0,44.0,1.0
253,2019-01-11 13:00:00,12,52.0,1.0,67.0,1.0
254,2019-01-11 14:00:00,12,35.0,1.0,68.0,1.0
255,2019-01-11 15:00:00,12,27.0,1.0,51.0,1.0
256,2019-01-11 16:00:00,12,29.0,1.0,64.0,1.0
257,2019-01-11 17:00:00,12,21.0,1.0,63.0,1.0
258,2019-01-11 18:00:00,12,17.0,1.0,57.0,1.0
259,2019-01-11 19:00:00,12,15.0,1.0,56.0,1.0
260,2019-01-11 20:00:00,12,18.0,1.0,40.0,1.0
261,2019-01-11 21:00:00,12,14.0,1.0,35.0,1.0
262,2019-01-11 22:00:00,12,7.0,2.1,31.0,1.0
263,2019-01-11 23:00:00,12,7.0,1.0,37.0,1.0
264,2019-01-12 00:00:00,12,6.0,1.0,32.0,1.0
265,2019-01-12 01:00:00,12,25.0,1.0,40.0,1.0
266,2019-01-12 02:00:00,12,16.0,1.0,30.0,1.0
267,2019-01-12 03:00:00,12,14.0,1.0,28.0,1.0
268,2019-01-12 04:00:00,12,18.0,1.0,35.0,1.0
269,2019-01-12 05:00:00,12,15.0,1.0,17.0,2.1
270,2019-01-12 06:00:00,12,15.0,1.0,33.0,1.0
271,2019-01-12 07:00:00,12,22.0,1.0,45.0,1.0
272,2019-01-12 08:00:00,12,28.0,1.0,49.0,1.0
273,2019-01-12 09:00:00,12,22.0,1.0,48.0,1.0
274,2019-01-12 10:00:00,12,25.0,1.0,46.0,1.0
275,2019-01-12 11:00:00,12,31.0,1.0,49.0,1.0
276,2019-01-12 12:00:00,12,36.0,1.0,54.0,1.0
277,2019-01-12 13:00:00,12,43.0,1.0,48.0,1.0
278,2019-01-12 14:00:00,12,37.0,1.0,67.0,1.0
279,2019-01-12 15:00:00,12,26.0,1.0,54.0,1.0
280,2019-01-12 16:00:00,12,24.0,1.0,46.0,1.0
281,2019-01-12 17:00:00,12,22.0,1.0,45.0,1.0
282,2019-01-12 18:00:00,12,22.0,1.0,54.0,1.0
283,2019-01-12 19:00:00,12,18.0,1.0,44.0,1.0
284,2019-01-12 20:00:00,12,15.0,1.0,39.0,1.0
285,2019-01-12 21:00:00,12,20.0,1.0,33.0,1.0
286,2019-01-12 22:00:00,12,15.0,1.0,27.0,1.0
287,2019-01-12 23:00:00,12,8.0,1.0,38.0,1.0
288,2019-01-13 00:00:00,12,10.0,1.0,33.0,1.0
289,2019-01-13 01:00:00,12,11.0,1.0,32.0,1.0
290,2019-01-13 02:00:00,12,14.0,1.0,35.0,1.0
291,2019-01-13 03:00:00,12,14.0,1.0,25.0,1.0
292,2019-01-13 04:00:00,12,25.0,1.0,25.0,1.0
293,2019-01-13 05:00:00,12,16.0,1.0,25.0,1.0
294,2019-01-13 06:00:00,12,18.0,1.0,35.0,1.0
295,2019-01-13 07:00:00,12,24.0,1.0,40.0,1.0
296,2019-01-13 08:00:00,12,22.0,1.0,48.0,1.0
297,2019-01-13 09:00:00,12,24.0,1.0,38.0,1.0
298,2019-01-13 10:00:00,12,23.0,1.0,35.0,1.0
299,2019-01-13 11:00:00,12,22.0,1.0,25.0,2.1
300,2019-01-13 12:00:00,12,19.0,1.0,28.0,1.0
302,2019-01-13 14:00:00,12,31.0,1.0,42.0,1.0
303,2019-01-13 15:00:00,12,29.0,1.0,53.0,1.0
304,2019-01-13 16:00:00,12,16.0,1.0,37.0,1.0
305,2019-01-13 17:00:00,12,22.0,1.0,27.0,1.0
306,2019-01-13 18:00:00,12,17.0,1.0,31.0,1.0
307,2019-01-13 19:00:00,12,18.0,1.0,44.0,1.0
308,2019-01-13 20:00:00,12,14.0,1.0,30.0,1.0
309,2019-01-13 21:00:00,12,16.0,1.0,27.0,1.0
310,2019-01-13 22:00:00,12,16.0,1.0,16.0,1.0
311,2019-01-13 23:00:00,12,1.0,2.1,22.0,2.1
312,2019-01-14 00:00:00,12,3.0,2.1,25.0,1.0
313,2019-01-14 01:00:00,12,7.0,2.1,27.0,1.0
314,2019-01-14 02:00:00,12,16.0,1.0,32.0,1.0
315,2019-01-14 03:00:00,12,15.0,1.0,26.0,1.0
316,2019-01-14 04:00:00,12,10.0,2.1,27.0,1.0
317,2019-01-14 05:00:00,12,16.0,1.0,38.0,1.0
318,2019-01-14 06:00:00,12,19.0,1.0,56.0,1.0
319,2019-01-14 07:00:00,12,30.0,1.0,69.0,1.0
320,2019-01-14 08:00:00,12,30.0,1.0,74.0,1.0
321,2019-01-14 09:00:00,12,34.0,1.0,71.0,1.0
322,2019-01-14 10:00:00,12,22.0,1.0,50.0,1.0
323,2019-01-14 11:00:00,12,28.0,1.0,41.0,1.0
324,2019-01-14 12:00:00,12,35.0,1.0,36.0,1.0
325,2019-01-14 13:00:00,12,44.0,1.0,49.0,1.0
326,2019-01-14 14:00:00,12,23.0,1.0,62.0,1.0
327,2019-01-14 15:00:00,12,30.0,1.0,71.0,1.0
328,2019-01-14 16:00:00,12,34.0,1.0,91.0,1.0
329,2019-01-14 17:00:00,12,28.0,1.0,76.0,1.0
330,2019-01-14 18:00:00,12,29.0,1.0,58.0,1.0
331,2019-01-14 19:00:00,12,25.0,1.0,52.0,1.0
332,2019-01-14 20:00:00,12,14.0,1.0,51.0,1.0
333,2019-01-14 21:00:00,12,17.0,1.0,40.0,1.0
334,2019-01-14 22:00:00,12,10.0,1.0,47.0,1.0
335,2019-01-14 23:00:00,12,28.0,1.0,47.0,1.0
336,2019-01-15 00:00:00,12,23.0,1.0,39.0,1.0
337,2019-01-15 01:00:00,12,26.0,1.0,41.0,1.0
338,2019-01-15 02:00:00,12,22.0,1.0,37.0,1.0
339,2019-01-15 03:00:00,12,25.0,2.3,46.0,1.0
340,2019-01-15 04:00:00,12,29.0,1.0,49.0,1.0
341,2019-01-15 05:00:00,12,32.0,2.3,48.0,1.0
342,2019-01-15 06:00:00,12,39.0,1.0,65.0,1.0
343,2019-01-15 07:00:00,12,50.0,1.0,100.0,1.0
344,2019-01-15 08:00:00,12,59.0,1.0,103.0,1.0
345,2019-01-15 09:00:00,12,49.0,1.0,94.0,1.0
346,2019-01-15 10:00:00,12,44.0,1.0,79.0,2.3
347,2019-01-15 11:00:00,12,35.0,1.0,60.0,1.0
350,2019-01-15 14:00:00,12,56.0,1.0,73.0,1.0
351,2019-01-15 15:00:00,12,38.0,1.0,73.0,1.0
352,2019-01-15 16:00:00,12,28.0,1.0,61.0,1.0
353,2019-01-15 17:00:00,12,29.0,1.0,54.0,1.0
354,2019-01-15 18:00:00,12,24.0,1.0,39.0,1.0
355,2019-01-15 19:00:00,12,10.0,1.0,36.0,1.0
